#Title
d_Cthulhu;Cthulhu;;;;;;;;;;;;;x
d_Cthulhu_adj;Cthulhu;;;;;;;;;;;;;x
PIRATE_CTHULHU;Cthulhu;;;;;;;;;;;;;x
PIRATE_CTHULHU;Cthulhu Adeptess;;;;;;;;;;;;;x
PIRATE_CTHULHU_FOA;Cthulhu;;;;;;;;;;;;;x

#Religion
Cthulhu_rel;The Adept of Cthulhu;;;;;;;;;;;;;x
Cthulhu_rel_DESC;They were not composed altogether of flesh and blood. They had shape but that shape was not made of matter. When the stars were right, They could plunge from world to world through the sky; but when the stars were wrong, They could not live. But although They no longer lived, They would never really die. They all lay in stone houses in Their great city of R'lyeh, preserved by the spells of mighty Cthulhu for a glorious resurrection when the stars and the earth might once more be ready for Them.;;;;;;;;;;;;;x #

#Decisions_kraken
huntkraken;Hunt The Kraken;;;;;;;;;;;;;x  
huntkraken_desc;- Sir! We listened about big fish, which name is kraken. This mythical creature sinks our ships and steal plundering. Perhaps it is all fairy tales from traitors... Anyway, you must get to the truth and hang up kraken's head!;;;;;;;;;;;;;x
krakenfeast;Start Kraken Feast;;;;;;;;;;;;;x
krakenfeast_desc;You have killed legendary Kraken! Your crew has already told everyone about this, but it is time to arange a great feast about this;;;;;;;;;;;;;x
general;Hire a dothrakian commander.;;;;;;;;;;;;;x
general_desc;We heard about one great mercenary... For a small amount of money he will join us.;;;;;;;;;;;;;x

#Event_kraken
EVTNAME_hunt_events.1;Where is this salty Kraken?!;;;;;;;;;;;;;x
EVTDESC_hunt_events.1;Having got aboard, you looked back and looked at your team. Hardly had you time to meet someone, how the boatswain approached you. \n "Captain, the team is ready, they are hungry for action, especially considering where you called them all." "Hunting kraken, yes?" These sea wolves are not afraid to climb the dragon's mouth, what can we talk about ?! " \n ... if you pay." \n - "Where is this herring ?!" \ nNow you need to select a direction. In the north and west should be calm, which can not be said about the east and south. In the south, according to rumors, there is a caravan with wine from the Summer Islands, in the east a new batch of "punitive punishers" - hired by Yi Ti. \n - "What's the course, Captain?".;;;;;;;;;;;;;x 
EVTDESC_hunt_events.0;You have not found something interestering and decide return to [Root.Capital.GetName].r;;;;;;;;;;;;;x
EVTOPTA_hunt_events.0;Raise the sails!.;;;;;;;;;;;;;x

EVTOPTA_hunt_events.1;To the north! I like snow.;;;;;;;;;;;;;x
EVTOPTB_hunt_events.1;To the south! Soon we'll get drunk like shrimp.;;;;;;;;;;;;;x 
EVTOPTC_hunt_events.1;To the east! Kraken shall be at DragonStone.;;;;;;;;;;;;;x
EVTOPTD_hunt_events.1;To the west! Bodies of Yi Ti will be an excellent bait.;;;;;;;;;;;;;x
EVTDESC_north_events.1;After a month's journey, you finally arrived to north part of westeros - Skagos. \nIt's pretty cold here, but you anticipate the prey and do not pay too much attention to the temperature, which can not be said about the team. Although they called themselves "sea wolves," the cold did bother them. Preference, all the same, was a warm climate closer to the Summer Islands.\n Skagos is mountainous and forbidding with rough and treacherous currents around the isle. Sailing is hazardous, especially during the autumn storms when the cold can freeze ropes and sails. People live here a little and you dont see any other ships. \n Boatswain come to you and ask about further order.;;;;;;;;;;;;;x
EVTOPTA_north_events.1;We are stay here. Sprawl nets!;;;;;;;;;;;;;x
EVTOPTB_north_events.1;To the shore.;;;;;;;;;;;;;x
TOOLTIP_north_events_1A_tooltip;\n§C40%§! - Travel will be done. \n §G30%§! - shark in net. \n §G25%§! - you found a second part of sword. \n §R10%§! - kraken found you...\n;;;;;;;;;;;;;x       
TOOLTIP_north_events_20A_tooltip;\n§C30%§! - You will not found anything and return to ship. \n §K30%§! - shark in the water. \n §G20%§! - you found a part of strange map. \n §G20%§! - you found a part of sword.\n;;;;;;;;;;;;;x
EVTOPTE_north_events.1;I'll kill him by my self!;;;;;;;;;;;;;x
EVTOPTC_north_events.1;We're return. Raise the sails!;;;;;;;;;;;;;x
EVTDESC_hunt_events.2;On this you decide to finish your journey and return in [Root.Capital.GetName]. Having given the necessary instructions to boatswain, you descended to your cabin. \n Nothing interesting happened after.;;;;;;;;;;;;;x 
EVTOPTA_hunt_events.2;Sweet home.;;;;;;;;;;;;;x
EVTDESC_hunt_events.3;our plans have changed and you return in [Root.Capital.GetName].;;;;;;;;;;;;;x
EVTOPTA_hunt_events.3;Sweet home.;;;;;;;;;;;;;x
EVTDESC_north_events.3;You spent a couple of weeks near the island. Your people scattered the nets, but out of this venture nothing was caught except the fish. At some point, it seemed to you that it would not work and it was time to return, as a huge shark fell into the net. With difficulty, your people caught it - from it will come out a great scarecrow.;;;;;;;;;;;;;x 
EVTOPTA_north_events.3;You are catch a fatty shark.;;;;;;;;;;;;;x
EVTDESC_north_events.4;Wonderful idea coming in your mind. You swim far away from island and go deep. Only there you understand, that this idea with swim in cool water was... not too much smart. Not enough that cold, more, right now fat shark look in your eyes and swim away.;;;;;;;;;;;;;x  
EVTOPTA_north_events.4;Get out here!;;;;;;;;;;;;;x
TOOLTIP_north_events_4A_tooltip;\n§R30%§! - shark eat you! \n§Y30%§! - you got wounded and escape. \n§Y20%§! - you get wound and loose leg but escape. \n§C10%§! - you are save in boat without any wounds. \n§P10%§! - what is... it?;;;;;;;;;;;;;x
EVTDESC_north_events.5;Standing at the side you looked at the water. In the far off on the very edge of the view was the Skage Island. Suddenly, it seemed to you that something appeared at the bottom. Peering into the water you saw the purpose of your quest. This is the last thing you saw except for the deaths of your crew from the tentacles of Kraken.;;;;;;;;;;;;;x  
EVTOPTA_north_events.5;Kraken eat you all!;;;;;;;;;;;;;x
EVTDESC_north_events.6;In networks your people have found a broken sword and gave to you. It remains to find one more part of the blacksmith and to try to restore it. \nNOTE: when you collect two north's part of sword you can push separate decision for this event.;;;;;;;;;;;;;x
EVTOPTA_north_events.6;It was good sword sadly that now broken..;;;;;;;;;;;;;x
EVTDESC_north_events.7;Instead of freezing in cold water, you decided to walk along the beach. At some point, your foot in something buried. Bending down, you found a piece of paper that was strange to the touch. "Part of the map" - you realized, looking at the obscure signs, and went to the ship.;;;;;;;;;;;;;x
